object,eventLabel,colectieNaam,eventMediaAlt,collectieID,eventDate,eventDescription,eventMedia,eventMediaLink,eventType
https://collectiedata.hetnieuweinstituut.nl/id/objects/32295,Zigzag kinderstoel Jesse,MEUV,stoelen,MEUV084,1944,Kinderstoel gemaakt voor de kinderen van fotograaf Nico Jesse. Zigzagcontructie met blad dat op twee stijlen steunt. De stijlen hebben de vorm van een bloem op een lange steel. Op het vierkante grondvlak is een patroon van ruiten aangebracht. De naar boven toe taps toelopende rugplank wordt bekroond door een vogel en twee blaadjes. De stoels is gelakt. De kopse kanten zijn groen geverfd; de bloemen en vogel zijn groen en rood geverfd.,https://hdl.handle.net/21.12141/doc/collect.D0C9AB20-5B33-459C-B700-5796661751EE,https://hdl.handle.net/21.12141/doc/collect.D0C9AB20-5B33-459C-B700-5796661751EE,meubel
https://collectiedata.hetnieuweinstituut.nl/id/objects/32296,bedden,MEUV,bedden,MEUV132,1940,Kinderbed gemaakt voor de kinderen van fotograaf Nico Jesse. Bed met aan vier zijden dichtgezette en met kruiselings op elkaar gelijmden planken plaatmateriaal. Voor- en achterkanten zijn hoger opgetrokken dan de zijkanten. De binnenzijde is groen geschilderd; de buitenzijden zijn beschilderd met rode bloemen op hoge stelen.,https://hdl.handle.net/21.12141/doc/collect.A4368E95-F1D2-4FE6-AF88-3A9579D97251,https://hdl.handle.net/21.12141/doc/collect.A4368E95-F1D2-4FE6-AF88-3A9579D97251,meubel
https://collectiedata.hetnieuweinstituut.nl/id/objects/31352,Schets van een rococostoel,RIET,https://schema.org/VisualArtwork,RIET464+,1920,,https://hdl.handle.net/21.12141/doc/collect.7CBB806F-ABE2-4FB3-9754-0DDB724CCD9C,https://hdl.handle.net/21.12141/doc/collect.7CBB806F-ABE2-4FB3-9754-0DDB724CCD9C,meubel
https://collectiedata.hetnieuweinstituut.nl/id/objects/439,Aramco-fauteuil voor Gispen,RIET,schaalmodellen (voorstellingen),MAQV342,1953,,https://hdl.handle.net/21.12141/doc/collect.6DFF016B-2D58-466E-A49B-AE889F83CE8A,https://hdl.handle.net/21.12141/doc/collect.6DFF016B-2D58-466E-A49B-AE889F83CE8A,meubel
https://collectiedata.hetnieuweinstituut.nl/id/objects/438,Zigzagstoel van Polyester,RIET,schaalmodellen (voorstellingen),MAQV341,1950,Een model van een zigzagstoel. De maquette is één van de latere ontwerpen van de zigzagstoel.,https://hdl.handle.net/21.12141/doc/collect.4F0B176A-B85F-4724-AE9A-D5065E31B347,https://hdl.handle.net/21.12141/doc/collect.4F0B176A-B85F-4724-AE9A-D5065E31B347,meubel
https://collectiedata.hetnieuweinstituut.nl/id/objects/435,Zigzagstoel,RIET,schaalmodellen (voorstellingen),MAQV338,1958,"<FONT face=Calibri>Misschien ken je hem wel, deze zigzagstoel van Rietveld, het is een internationale designklassieker. Weinig mensen weten dat Gerrit Rietveld de eerste modellen begin jaren dertig zelf uitprobeerde in karton. In een minuscuul formaat, ze zijn ongeveer vijf centimeter hoog, test hij varianten uit voor de constructie van rugleuning, zitvlak, poot en grondvlak in de vorm van de zigzag. Lang sleutelt hij aan dit idee door te variëren in bijvoorbeeld de keuze van materialen en wijze van verbinden. Deze handgemaakte experimenten getuigen van een radicaal afscheid van de traditionele stoel met vier poten . </FONT>",https://hdl.handle.net/21.12141/doc/collect.B9FDCD8B-4D5B-407F-A142-8137321B1549,https://hdl.handle.net/21.12141/doc/collect.B9FDCD8B-4D5B-407F-A142-8137321B1549,meubel
https://collectiedata.hetnieuweinstituut.nl/id/books/300306254,"Zelfs te Weenen zit men nog niet bij de pakken neer. De Werkbund tentoonstelling te Weenen, juni-juli 1932.",De 8 en Opbouw : 14-daagsch tijdschrift van de Vereenigde Architectenkern de 8,https://schema.org/Article,B-126822,1932,"Onduidelijk of blz. en 150-154 bij artikel van Rietveld behoren. Ontwerpjaren: 1933 (voor) Illustraties: foto's/exterieurs woonhuizen; reproducties/plattegronden woonhuizen; foto's/exterieurs woonhuizen in Werkbund Siedlung te Wenen, arch. Rietveld; reproducties/plattegronden woonhuizen in Werkbund Siedlung te Wenen, arch. Rietveld",https://hdl.handle.net/21.12141/doc/collect.0C391032-DF88-47E7-B8CA-CB39CE15F5E7,https://hdl.handle.net/21.12141/doc/collect.0C391032-DF88-47E7-B8CA-CB39CE15F5E7,meubel
https://collectiedata.hetnieuweinstituut.nl/id/objects/437,Vouwstoel,RIET,schaalmodellen (voorstellingen),MAQV340,1942,Model van een vouwstoel met armleuningen.,https://hdl.handle.net/21.12141/doc/collect.5F65BD2B-8930-45C5-A578-608CC9E3FF67,https://hdl.handle.net/21.12141/doc/collect.5F65BD2B-8930-45C5-A578-608CC9E3FF67,meubel
https://collectiedata.hetnieuweinstituut.nl/id/objects/440,Betonnen Bank voor Kantoor Schrale Beton,RIET,schaalmodellen (voorstellingen),MAQV346,1958,,https://hdl.handle.net/21.12141/doc/collect.9C9D719D-5B40-461B-AE8A-E8A0194AFD1E,https://hdl.handle.net/21.12141/doc/collect.9C9D719D-5B40-461B-AE8A-E8A0194AFD1E,meubel
https://collectiedata.hetnieuweinstituut.nl/id/objects/32799,Stoel,MEUV,stoelen,MEUV256,1927,"Massief ijzeren buisstoel, met zitting en leuning van triplex, gebogen en geschilderd.",https://hdl.handle.net/21.12141/doc/collect.8DA6D89C-3DE1-4530-B082-F46C0D0FF622,https://hdl.handle.net/21.12141/doc/collect.8DA6D89C-3DE1-4530-B082-F46C0D0FF622,meubel
https://collectiedata.hetnieuweinstituut.nl/id/objects/32780,Fauteuil met armleggers,MEUV,stoelen,MEUV006,1937,Fauteuil met armleggers die overgaan in de voorpoten. Geheel bekleed met donkerbruin canvas.,https://hdl.handle.net/21.12141/doc/collect.1CDA50FB-E8E6-43DD-A7C2-9B8933188E61,https://hdl.handle.net/21.12141/doc/collect.1CDA50FB-E8E6-43DD-A7C2-9B8933188E61,meubel
https://collectiedata.hetnieuweinstituut.nl/id/objects/433,Zigzagstoel met Armleuningen,RIET,schaalmodellen (voorstellingen),MAQV337,1934,Een model van een zigzag armstoel met armleuningen.,https://hdl.handle.net/21.12141/doc/collect.5F0E496C-E8E6-4270-8520-77983052C772,https://hdl.handle.net/21.12141/doc/collect.5F0E496C-E8E6-4270-8520-77983052C772,meubel
https://collectiedata.hetnieuweinstituut.nl/id/objects/442,Lessenaar,RIEZ,schaalmodellen (voorstellingen),MAQV348,1957,Schaalmodel van een lessenaar met een monochroom zwartgekleurde voet.,https://hdl.handle.net/21.12141/doc/collect.67101D38-7FB6-4803-B4E8-B674E96EF7C2,https://hdl.handle.net/21.12141/doc/collect.67101D38-7FB6-4803-B4E8-B674E96EF7C2,meubel
https://collectiedata.hetnieuweinstituut.nl/id/objects/32778,Fauteuil,MEUV,stoelen,MEUV007,1937,Fauteuil met armleggers die overgaan in de voorpoten. Geheel bekleed met donkerbruin canvas.,https://hdl.handle.net/21.12141/doc/collect.92A29863-9CB3-420B-AB88-7A2BCC596202,https://hdl.handle.net/21.12141/doc/collect.92A29863-9CB3-420B-AB88-7A2BCC596202,meubel
https://collectiedata.hetnieuweinstituut.nl/id/objects/32777,Fauteuil met armleggers,MEUV,stoelen,MEUV005,1937,Fauteuil met armleggers die overgaan in de voorpoten. Geheel bekleed met donkerbruin canvas.,https://hdl.handle.net/21.12141/doc/collect.691DE984-D235-44B7-A552-B2C69BD38E23,https://hdl.handle.net/21.12141/doc/collect.691DE984-D235-44B7-A552-B2C69BD38E23,meubel
https://collectiedata.hetnieuweinstituut.nl/id/objects/32798,tafels,MEUV,tafels,MEUV131,1934,"Prototype van een vierkante salontafel met tussenblad, samengesteld uit tegen elkaar geschroefde planken.",https://hdl.handle.net/21.12141/doc/collect.05096CDE-D15C-4209-A302-AC7AB4C8D438,https://hdl.handle.net/21.12141/doc/collect.05096CDE-D15C-4209-A302-AC7AB4C8D438,meubel
https://collectiedata.hetnieuweinstituut.nl/id/objects/444,Canvas fauteuil,RIET,schaalmodellen (voorstellingen),MAQV351,1935,,https://hdl.handle.net/21.12141/doc/collect.5DAA5187-4502-4258-BC3F-FECF38CD369F,https://hdl.handle.net/21.12141/doc/collect.5DAA5187-4502-4258-BC3F-FECF38CD369F,meubel
https://collectiedata.hetnieuweinstituut.nl/id/objects/443,Vouwstoel,RIET,schaalmodellen (voorstellingen),MAQV349,,Schaalmodel van een vouwstoel met armleuningen.,https://hdl.handle.net/21.12141/doc/collect.079C78F7-6BFC-4C66-A692-839CA462CAF4,https://hdl.handle.net/21.12141/doc/collect.079C78F7-6BFC-4C66-A692-839CA462CAF4,meubel
https://collectiedata.hetnieuweinstituut.nl/id/objects/434,Zigzag Kinderstoel,RIET,schaalmodellen (voorstellingen),MAQV336,1940,Een model van een zigzag kinderstoel met armleuningen.,https://hdl.handle.net/21.12141/doc/collect.C8E1B170-76C3-4D79-B0A7-56C30E1B85C9,https://hdl.handle.net/21.12141/doc/collect.C8E1B170-76C3-4D79-B0A7-56C30E1B85C9,meubel
https://collectiedata.hetnieuweinstituut.nl/id/objects/441,Ontwerpmaquette voor een metalen stoel,RIET,schaalmodellen (voorstellingen),MAQV347,1958,Model van een metalen stoel.,https://hdl.handle.net/21.12141/doc/collect.E9D2EDE8-E07F-42EA-9C94-0647158A4600,https://hdl.handle.net/21.12141/doc/collect.E9D2EDE8-E07F-42EA-9C94-0647158A4600,meubel
https://collectiedata.hetnieuweinstituut.nl/id/archives/110351274,"Foto’s en documentatie van een kinderstoel, ontworpen door G. Rietveld.",,https://www.ica.org/standards/RiC/ontology#RecordSet,,1916,,https://hdl.handle.net/21.12141/doc/collect.68766741-B610-4F54-B37C-C43A4A7AD76F,https://hdl.handle.net/21.12141/doc/collect.68766741-B610-4F54-B37C-C43A4A7AD76F,meubel
https://collectiedata.hetnieuweinstituut.nl/id/objects/32800,Deense stoel,MEUV,stoelen,MEUV257,1946,"Fauteuil van fiber met halfrondgebogen rugleuning. Roodbruin gekleurd met witte tegenkanten. De stoel is gerestaureerd, dat wil zeggen bij - of overgeschilderd.",https://hdl.handle.net/21.12141/doc/collect.8C7ECE03-0D66-4C2B-9E81-D4E83947D2CC,https://hdl.handle.net/21.12141/doc/collect.8C7ECE03-0D66-4C2B-9E81-D4E83947D2CC,meubel
https://collectiedata.hetnieuweinstituut.nl/id/objects/436,Zigzagstoel van Staal,RIET,schaalmodellen (voorstellingen),MAQV339,1934,Een model van een zigzagstoel vervaardigd uit een koperlegering.,https://hdl.handle.net/21.12141/doc/collect.68E8C398-90E0-4391-B903-5BA038B1A8E0,https://hdl.handle.net/21.12141/doc/collect.68E8C398-90E0-4391-B903-5BA038B1A8E0,meubel
https://collectiedata.hetnieuweinstituut.nl/id/objects/31870,Ontwerpmaquette voor een driezitsbank,RIET,schaalmodellen (voorstellingen),MAQV350,,Model van een staken stoel.,https://hdl.handle.net/21.12141/doc/collect.F920C43A-9CD6-498D-93EC-6EF1B0053F01,https://hdl.handle.net/21.12141/doc/collect.F920C43A-9CD6-498D-93EC-6EF1B0053F01,meubel